Unnamed: 0.1,Unnamed: 0,Organisation,Rocket_Status,Price,Mission_Status,Launchpad,Launch Complex,State,Country,Year,Month,Day,Rocket Name/Model,Payloads
0,0,SpaceX,StatusActive,50.0,Success,LC-39A,Kennedy Space Center,Florida,USA,2020,8,7,Falcon 9 Block 5,Starlink V1 L9 & BlackSky
1,1,CASC,StatusActive,29.75,Success,Site 9401 (SLS-2),Jiuquan Satellite Launch Center,,China,2020,8,6,Long March 2D,Gaofen-9 04 & Q-SAT
2,2,SpaceX,StatusActive,,Success,Pad A,Boca Chica,Texas,USA,2020,8,4,Starship Prototype,150 Meter Hop
3,3,Roscosmos,StatusActive,65.0,Success,Site 200/39,Baikonur Cosmodrome,,Kazakhstan,2020,7,30,Proton-M/Briz-M,Ekspress-80 & Ekspress-103
4,4,ULA,StatusActive,145.0,Success,SLC-41,Cape Canaveral AFS,Florida,USA,2020,7,30,Atlas V 541,Perseverance
5,5,CASC,StatusActive,64.68,Success,LC-9,Taiyuan Satellite Launch Center,,China,2020,7,25,Long March 4B,"Ziyuan-3 03, Apocalypse-10 & NJU-HKU 1"
6,6,Roscosmos,StatusActive,48.5,Success,Site 31/6,Baikonur Cosmodrome,,Kazakhstan,2020,7,23,Soyuz 2.1a,Progress MS-15
7,7,CASC,StatusActive,,Success,LC-101,Wenchang Satellite Launch Center,,China,2020,7,23,Long March 5,Tianwen-1
8,8,SpaceX,StatusActive,50.0,Success,SLC-40,Cape Canaveral AFS,Florida,USA,2020,7,20,Falcon 9 Block 5,ANASIS-II
9,9,JAXA,StatusActive,90.0,Success,LA-Y1,Tanegashima Space Center,,Japan,2020,7,19,H-IIA 202,Hope Mars Mission
10,10,Northrop,StatusActive,46.0,Success,LP-0B,Wallops Flight Facility,Virginia,USA,2020,7,15,Minotaur IV,NROL-129
11,11,ExPace,StatusActive,28.3,Failure,Site 95,Jiuquan Satellite Launch Center,,China,2020,7,10,Kuaizhou 11,"Jilin-1 02E, CentiSpace-1 S2"
12,12,CASC,StatusActive,29.15,Success,LC-3,Xichang Satellite Launch Center,,China,2020,7,9,Long March 3B/E,Apstar-6D
13,13,IAI,StatusActive,,Success,Pad 1,Palmachim Airbase,,Israel,2020,7,6,Shavit-2,Ofek-16
14,14,CASC,StatusActive,29.75,Success,Site 9401 (SLS-2),Jiuquan Satellite Launch Center,,China,2020,7,4,Long March 2D,Shiyan-6 02
15,15,Rocket Lab,StatusActive,7.5,Failure,Rocket Lab LC-1A,M?hia Peninsula,,New Zealand,2020,7,4,Electron/Curie,Pics Or It Didn??¦t Happen
16,16,CASC,StatusActive,64.68,Success,LC-9,Taiyuan Satellite Launch Center,,China,2020,7,3,Long March 4B,Gaofen Duomo & BY-02
